job_id,tag,matrix,perm,perm_type,algo,block_size,n_cols,time_loading_ms,time_write_ms,time_operation_ms,time_transfer_ms
196953,SMAT_SPMM_ROW,l30.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,21.040505,14.836628,0.093,
196960,SMAT_SPMM_ROW,stoch_aircraft.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,21.263634,8.701691,0.025,
196983,SMAT_SPMM_ROW,deter3.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,16.732399,15.287184,0.206,
196893,SMAT_SPMM_ROW,stat96v5.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,42.273303,93.680172,0.168,
197039,SMAT_SPMM_ROW,fxm3_16.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,67.13875,93.396808,0.189,
197063,SMAT_SPMM_ROW,stormg2-27.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,22.676659,25.214438,0.263,
196766,SMAT_SPMM_ROW,p010.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,25.891869,51.706114,0.724,
197062,SMAT_SPMM_ROW,stormg2-27.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,33.238664,26.97945,0.242,
196977,SMAT_SPMM_ROW,deter2.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,26.227017,21.789948,0.213,
197078,SMAT_SPMM_ROW,large.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,17.389367,10.27004,0.066,
197027,SMAT_SPMM_ROW,fxm2-16.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,17.982957,18.80991,0.143,
196971,SMAT_SPMM_ROW,deter1.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,15.297814,11.255709,0.171,
197066,SMAT_SPMM_ROW,stormg2-8.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,18.123226,18.809078,0.107,
197051,SMAT_SPMM_ROW,pgp2.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,18.220362,17.378289,0.019,
197072,SMAT_SPMM_ROW,delf.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,16.268944,9.394857,0.057,
196922,SMAT_SPMM_ROW,world.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,42.144494,84.002037,0.489,
196976,SMAT_SPMM_ROW,deter2.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,24.26281,21.255258,0.213,
197045,SMAT_SPMM_ROW,fxm4_6.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,51.264936,64.419993,0.206,
197086,SMAT_SPMM_ROW,nsct.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,80.107283,159.839382,0.309,
197074,SMAT_SPMM_ROW,delf.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,16.997993,10.087537,0.071,
197048,SMAT_SPMM_ROW,pgp2.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,17.518849,16.117479,0.059,
197104,SMAT_SPMM_ROW,rat.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,57.251039,61.35047,0.058,
197037,SMAT_SPMM_ROW,fxm3_16.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,59.060634,95.101275,0.153,
197029,SMAT_SPMM_ROW,fxm2-16.mtx,SB_gray,ROW,SMAT_SPMM_ROW,32.0,256,24.717367,12.325035,0.08,
196990,SMAT_SPMM_ROW,deter4.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,26.294275,9.524532,0.119,
196941,SMAT_SPMM_ROW,gen4.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,22.932281,44.743279,0.27,
196997,SMAT_SPMM_ROW,deter5.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,25.783136,13.579248,0.361,
197067,SMAT_SPMM_ROW,stormg2-8.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,18.078308,19.327984,0.108,
197055,SMAT_SPMM_ROW,stormg2-125.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,65.128815,103.232411,0.287,
197021,SMAT_SPMM_ROW,fxm2-6.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,19.891773,8.057899,0.072,
197099,SMAT_SPMM_ROW,plddb.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,17.088372,7.116763,0.037,
197042,SMAT_SPMM_ROW,fxm4_6.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,49.952435,63.819512,0.141,
197002,SMAT_SPMM_ROW,deter6.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,16.005103,16.796555,0.308,
197092,SMAT_SPMM_ROW,nsir.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,26.851084,68.234839,0.335,
197032,SMAT_SPMM_ROW,fxm3_6.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,18.626293,28.493037,0.15,
197028,SMAT_SPMM_ROW,fxm2-16.mtx,SB_gray,ROW,SMAT_SPMM_ROW,32.0,32,24.771238,11.968737,0.08,
196958,SMAT_SPMM_ROW,stoch_aircraft.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,16.872136,13.252561,0.038,
197091,SMAT_SPMM_ROW,nsir.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,26.683218,70.078153,0.258,
197116,SMAT_SPMM_ROW,sc205-2r.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,26.849577,34.119216,0.029,
196965,SMAT_SPMM_ROW,deter0.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,16.011887,12.849506,0.167,
